#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-05-10T16:41:16 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-05-10T16:41:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJ/833/225/table3&-order=I&-out=Name&-out=Teff&-out=logg&-out=[Fe/H]&-out=xi&-out=Pop&-out=Z&-out=Species&-out=N&-out=[X/H]LTE&-out=e_[X/H]LTE&-out=[X/Fe]LTE&-out=[X/H]NLTE&-out=e_[X/H]NLTE&-out=[X/Fe]NLTE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18330225
#Name: J/ApJ/833/225
#Title: -2.6<=[Fe/H]<=0.2 F and G dwarfs. II. Abundances (Zhao+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/833/225	    IVOID of underlying data collection
#INFO	creator=Zhao G.	    First author or institution
#INFO	cites=bibcode:2016ApJ...833..225Z	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/833/225	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18330225	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_833_225_table3:
#Name: J/ApJ/833/225/table3
#Title: Summary of the obtained stellar abundances
#Column	Name	(A10)	Object, Simbad name	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[4810/6600] Object effective temperature, derived (1)	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[3/4.8] Object surface gravity, derived (1)	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	[-2.7/0.3] Object metallicity, derived (1)	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[0.6/2] Microturbulence velocity, derived (1)	[ucd=phys.veloc.microTurb]
#Column	Pop	(a10)	Object Galactic population (Halo, Thick disk or Thin disk)	[ucd=src.class]
#Column	Z	(I2)	[3/63]? Atomic number	[ucd=meta.id]
#Column	Species	(A5)	Chemical species investigated	[ucd=meta.note]
#Column	N	(I2)	[0/29]? Number of lines fit	[ucd=meta.number]
#Column	[X/H]LTE	(F5.2)	[-3.6/2.8]? Abundance, relative to hydrogen, LTE case	[ucd=phys.abund]
#Column	e_[X/H]LTE	(F5.2)	[0/0.3]? Uncertainty in [X/H]LTE	[ucd=stat.error;phys.abund]
#Column	[X/Fe]LTE	(F5.2)	[-1.1/0.7]? Abundance, relative to iron, LTE case	[ucd=phys.abund]
#Column	[X/H]NLTE	(F5.2)	[-3.3/2.7]? Abundance, relative to hydrogen, NLTE case	[ucd=phys.abund]
#Column	e_[X/H]NLTE	(F5.2)	[0/0.3]? Uncertainty in [X/H]NLTE	[ucd=stat.error;phys.abund]
#Column	[X/Fe]NLTE	(F5.2)	[-0.8/0.7]? Abundance, relative to iron, NLTE case	[ucd=phys.abund]
Name	Teff	logg	[Fe/H]	xi	Pop	Z	Species	N	[X/H]LTE	e_[X/H]LTE	[X/Fe]LTE	[X/H]NLTE	e_[X/H]NLTE	[X/Fe]NLTE
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	11	Na I 	 4	 0.03	 0.09	 0.02	-0.01	 0.07	-0.02
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	12	Mg I 	 5	 0.00	 0.04	-0.01	 0.00	 0.03	-0.01
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	13	Al I 	 2	-0.13	 0.04	-0.14	-0.11	 0.03	-0.12
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	14	Si I 	 9	-0.05	 0.05	-0.06	-0.06	 0.05	-0.07
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	14	Si II	 2	-0.02	 0.04	-0.03	-0.06	 0.05	-0.07
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	19	K I  	 1	 0.19	     	 0.18	-0.03	     	-0.04
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	20	Ca I 	17	-0.05	 0.04	-0.06	-0.09	 0.04	-0.10
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	21	Sc II	 9	-0.01	 0.03	-0.02	-0.02	 0.02	-0.03
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	22	Ti II	 8	-0.03	 0.04	-0.04	-0.03	 0.04	-0.04
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	26	Fe I 	27	-0.01	 0.06	-0.02	 0.01	 0.06	 0.00
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	26	Fe II	16	 0.01	 0.04	 0.00	 0.01	 0.04	 0.00
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	29	Cu I 	 3	-0.07	 0.02	-0.08	-0.07	 0.02	-0.08
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	38	Sr II	 2	-0.05	 0.08	-0.06	-0.07	 0.04	-0.08
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	40	Zr II	 2	 0.00	 0.06	-0.01	 0.01	 0.07	 0.00
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	56	Ba II	 3	 0.19	 0.03	 0.18	 0.13	 0.03	 0.12
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	63	Eu II	 1	 0.01	     	 0.00	 0.02	     	 0.01
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	 3	Li I 	 1	 1.71	     	     	 1.69	     	
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	 6	C I  	 1	-0.65	     	 0.19	-0.65	     	 0.19
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	  	CH   	 0	     	     	     	     	     	
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	 8	O I  	 3	-0.31	 0.04	 0.53	-0.29	 0.04	 0.55
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	11	Na I 	 6	-0.81	 0.04	 0.03	-0.80	 0.03	 0.04
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	12	Mg I 	 5	-0.53	 0.03	 0.31	-0.52	 0.03	 0.32
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	13	Al I 	 1	-0.89	     	-0.05	-0.80	     	 0.04
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	14	Si I 	 9	-0.60	 0.04	 0.24	-0.60	 0.04	 0.24
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	14	Si II	 2	-0.55	 0.02	 0.29	-0.54	 0.01	 0.30
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	19	K I  	 1	-0.43	     	 0.41	-0.59	     	 0.25
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	20	Ca I 	19	-0.64	 0.06	 0.20	-0.64	 0.06	 0.20
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	21	Sc II	 9	-0.69	 0.04	 0.15	-0.67	 0.03	 0.17
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	22	Ti II	12	-0.56	 0.02	 0.28	-0.56	 0.02	 0.28
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	26	Fe I 	23	-0.90	 0.04	-0.06	-0.87	 0.04	-0.03
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	26	Fe II	14	-0.84	 0.07	 0.00	-0.84	 0.07	 0.00
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	29	Cu I 	 3	-1.04	 0.03	-0.20	-1.01	 0.02	-0.17
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	38	Sr II	 2	-0.74	 0.05	 0.10	-0.75	 0.11	 0.09
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	40	Zr II	 1	-0.62	     	 0.22	-0.59	     	 0.25
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	56	Ba II	 3	-0.81	 0.07	 0.03	-0.86	 0.03	-0.02
HD 22879  	5800	 4.29	-0.84	 1.0	Thick disk	63	Eu II	 1	-0.50	     	 0.34	-0.50	     	 0.34
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	 3	Li I 	 1	 2.34	     	     	 2.33	     	
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	 6	C I  	 0	     	     	     	     	     	
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	  	CH   	12	-1.55	 0.07	 0.39	     	     	
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	 8	O I  	 0	     	     	     	     	     	
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	11	Na I 	 2	-1.74	 0.01	 0.20	-2.09	 0.00	-0.15
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	12	Mg I 	 3	-1.78	 0.05	 0.16	-1.73	 0.07	 0.21
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	13	Al I 	 1	-2.61	     	-0.67	-2.08	     	-0.14
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	14	Si I 	 2	-1.70	 0.08	 0.24	-1.64	 0.07	 0.30
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	14	Si II	 0	     	     	     	     	     	
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	19	K I  	 0	     	     	     	     	     	
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	20	Ca I 	 4	-1.71	 0.08	 0.23	-1.65	 0.06	 0.29
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	21	Sc II	 1	-2.02	     	-0.08	-1.93	     	 0.01
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	22	Ti II	10	-1.73	 0.07	 0.21	-1.72	 0.06	 0.22
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	26	Fe I 	16	-2.04	 0.08	-0.10	-1.97	 0.08	-0.03
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	26	Fe II	10	-1.94	 0.17	 0.00	-1.94	 0.17	 0.00
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	29	Cu I 	 0	     	     	     	     	     	
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	38	Sr II	 2	-1.88	 0.08	 0.06	-2.03	 0.10	-0.09
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	40	Zr II	 2	-1.65	 0.01	 0.29	-1.62	 0.01	 0.32
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	56	Ba II	 3	-1.95	 0.06	-0.01	-1.80	 0.08	 0.14
HD 24289  	5980	 3.71	-1.94	 1.1	Halo      	63	Eu II	 1	-1.37	     	 0.57	-1.36	     	 0.58
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	 3	Li I 	 1	 2.74	     	     	 2.68	     	
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	 6	C I  	 4	 0.06	 0.06	-0.11	 0.03	 0.03	-0.14
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	  	CH   	10	 0.06	 0.02	-0.11	     	     	
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	 8	O I  	 4	 0.08	 0.03	-0.09	 0.02	 0.06	-0.15
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	11	Na I 	 4	 0.24	 0.06	 0.07	 0.20	 0.05	 0.03
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	12	Mg I 	 4	 0.15	 0.04	-0.02	 0.14	 0.04	-0.03
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	13	Al I 	 1	 0.22	     	 0.05	 0.21	     	 0.04
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	14	Si I 	 8	 0.15	 0.05	-0.02	 0.15	 0.04	-0.02
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	14	Si II	 2	 0.15	 0.07	-0.02	 0.13	 0.07	-0.04
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	19	K I  	 1	 0.33	     	 0.16	 0.18	     	 0.01
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	20	Ca I 	17	 0.16	 0.05	-0.01	 0.12	 0.04	-0.05
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	21	Sc II	 9	 0.27	 0.04	 0.10	 0.25	 0.03	 0.08
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	22	Ti II	 7	 0.15	 0.06	-0.02	 0.15	 0.06	-0.02
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	26	Fe I 	26	 0.19	 0.04	 0.02	 0.19	 0.04	 0.02
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	26	Fe II	16	 0.17	 0.08	 0.00	 0.17	 0.08	 0.00
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	29	Cu I 	 3	 0.14	 0.05	-0.03	 0.09	 0.03	-0.08
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	38	Sr II	 2	 0.13	 0.08	-0.04	 0.11	 0.05	-0.06
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	40	Zr II	 2	 0.12	 0.04	-0.05	 0.13	 0.04	-0.04
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	56	Ba II	 3	 0.11	 0.03	-0.06	 0.08	 0.02	-0.09
HD 30562  	5900	 4.08	 0.17	 1.3	Thin disk 	63	Eu II	 1	 0.02	     	-0.15	 0.07	     	-0.10
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	 3	Li I 	 1	 2.60	     	     	 2.55	     	
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	 6	C I  	 7	-0.24	 0.18	 0.20	-0.30	 0.07	 0.14
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	  	CH   	12	-0.21	 0.04	 0.23	     	     	
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	 8	O I  	 4	-0.30	 0.11	 0.14	-0.43	 0.06	 0.01
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	11	Na I 	 2	-0.33	 0.02	 0.11	-0.34	 0.01	 0.10
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	12	Mg I 	 5	-0.35	 0.09	 0.09	-0.34	 0.09	 0.10
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	13	Al I 	 0	     	     	     	     	     	
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	14	Si I 	 7	-0.31	 0.02	 0.13	-0.31	 0.02	 0.13
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	14	Si II	 2	-0.29	 0.04	 0.15	-0.33	 0.04	 0.11
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	19	K I  	 1	-0.12	     	 0.32	-0.40	     	 0.04
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	20	Ca I 	17	-0.42	 0.05	 0.02	-0.43	 0.08	 0.01
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	21	Sc II	 8	-0.33	 0.04	 0.11	-0.33	 0.03	 0.11
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	22	Ti II	10	-0.36	 0.05	 0.08	-0.37	 0.06	 0.07
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	26	Fe I 	26	-0.47	 0.06	-0.03	-0.43	 0.06	 0.01
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	26	Fe II	18	-0.44	 0.07	 0.00	-0.44	 0.07	 0.00
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	29	Cu I 	 3	-0.49	 0.03	-0.05	-0.43	 0.01	 0.01
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	38	Sr II	 2	-0.33	 0.00	 0.11	-0.35	 0.10	 0.09
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	40	Zr II	 3	-0.35	 0.03	 0.09	-0.32	 0.03	 0.12
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	56	Ba II	 3	-0.34	 0.03	 0.10	-0.41	 0.06	 0.03
HD 30743  	6450	 4.20	-0.44	 1.8	Thin disk 	63	Eu II	 1	-0.37	     	 0.07	-0.26	     	 0.18
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	 3	Li I 	 1	 2.06	     	     	 2.04	     	
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	 6	C I  	 5	-0.05	 0.02	-0.06	-0.07	 0.05	-0.08
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	  	CH   	11	-0.08	 0.02	-0.09	     	     	
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	 8	O I  	 4	-0.04	 0.06	-0.05	-0.06	 0.04	-0.07
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	11	Na I 	 4	 0.07	 0.02	 0.06	 0.05	 0.02	 0.04
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	12	Mg I 	 4	 0.01	 0.04	 0.00	 0.01	 0.03	 0.00
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	13	Al I 	 2	 0.08	 0.01	 0.07	 0.10	 0.01	 0.09
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	14	Si I 	 8	 0.04	 0.03	 0.03	 0.03	 0.02	 0.02
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	14	Si II	 2	 0.02	 0.01	 0.01	 0.01	 0.01	 0.00
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	19	K I  	 1	 0.14	     	 0.13	-0.02	     	-0.03
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	20	Ca I 	17	-0.03	 0.03	-0.04	-0.06	 0.04	-0.07
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	21	Sc II	 9	 0.04	 0.02	 0.03	 0.03	 0.03	 0.02
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	22	Ti II	10	 0.00	 0.04	-0.01	 0.00	 0.04	-0.01
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	26	Fe I 	26	 0.00	 0.04	-0.01	-0.01	 0.04	-0.02
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	26	Fe II	15	 0.01	 0.03	 0.00	 0.01	 0.03	 0.00
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	29	Cu I 	 3	 0.06	 0.03	 0.05	 0.05	 0.03	 0.04
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	38	Sr II	 2	-0.04	 0.00	-0.05	-0.05	 0.01	-0.06
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	40	Zr II	 2	-0.08	 0.07	-0.09	-0.07	 0.07	-0.08
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	56	Ba II	 3	-0.07	 0.03	-0.08	-0.09	 0.04	-0.10
HD 34411  	5850	 4.23	 0.01	 1.2	Thin disk 	63	Eu II	 1	-0.03	     	-0.04	-0.03	     	-0.04
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	 3	Li I 	 0	     	     	     	     	     	
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	 6	C I  	 6	-0.10	 0.11	 0.09	-0.18	 0.01	 0.01
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	  	CH   	12	-0.13	 0.04	 0.06	     	     	
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	 8	O I  	 5	 0.00	 0.09	 0.19	-0.18	 0.04	 0.01
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	11	Na I 	 2	-0.10	 0.05	 0.09	-0.16	 0.04	 0.03
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	12	Mg I 	 5	-0.18	 0.08	 0.01	-0.18	 0.06	 0.01
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	13	Al I 	 1	-0.28	     	-0.09	-0.19	     	 0.00
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	14	Si I 	 9	-0.17	 0.01	 0.02	-0.18	 0.01	 0.01
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	14	Si II	 2	-0.14	 0.00	 0.05	-0.19	 0.01	 0.00
