#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-23T23:24:39 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-23T23:24:39	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/655/A99&tab:{J/A+A/655/A99/table}&key:source=J/A+A/655/A99&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/655/A99/table
#-order=I
#-out=Star
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=S/N
#-out=[C/Fe]
#-out=e_[C/Fe]
#-out=[O1/Fe]
#-out=e_[O1/Fe]
#-out=[O2/Fe]
#-out=e_[O2/Fe]
#-out=[C/O1]
#-out=[C/O2]
#-out=planet
#-out=pop
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_36550099
#Name: J/A+A/655/A99
#Title: Chemical abundances of 762 FGK stars (Delgado Mena+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/655/a99	
#INFO	publisher=CDS	
#INFO	creator=Delgado Mena E.	
#INFO	related_resource=bibcode:2021A&A...655A..99D	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/655/A99	
#INFO	publication_id=doi:10.26093/cds/vizier.36550099	
#INFO	publication_date=2022-09-21	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_655_A99_table:
#Name: J/A+A/655/A99/table
#Title: Abundance ratios, errors, planet presence
#Column	Star	(a10)	Star's identifier	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective Temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Iron abundance	[ucd=phys.abund.Fe]
#Column	S/N	(I4)	Signal to noise ratio	[ucd=stat.snr]
#Column	[C/Fe]	(F6.3)	? Abundance [C/Fe]	[ucd=phys.abund]
#Column	e_[C/Fe]	(F6.3)	? Error of [C/Fe]	[ucd=stat.error;phys.abund]
#Column	[O1/Fe]	(F6.3)	? Abundance [O/Fe] from 6158{AA} line	[ucd=phys.abund]
#Column	e_[O1/Fe]	(F6.3)	? Error of [O/Fe] from 6158{AA} line	[ucd=stat.error;phys.abund]
#Column	[O2/Fe]	(F6.3)	? Abundance [O/Fe] from 6300{AA} line	[ucd=phys.abund]
#Column	e_[O2/Fe]	(F6.3)	? Error of [O/Fe] from 6300{AA} line	[ucd=stat.error;phys.abund]
#Column	[C/O1]	(F6.3)	? Ratio [C/O] using 6158{AA} line	[ucd=phys.abund]
#Column	[C/O2]	(F6.3)	? Ratio [C/O] using 6300{AA} line	[ucd=phys.abund]
#Column	planet	(A4)	Type of the most massive planet present (jup, nept or non)	[ucd=src.class]
#Column	pop	(A5)	Galactic population (thick, thin, halo or hamr)	[ucd=meta.code]
#Column	SimbadName	(a10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star	Teff	logg	[Fe/H]	S/N	[C/Fe]	e_[C/Fe]	[O1/Fe]	e_[O1/Fe]	[O2/Fe]	e_[O2/Fe]	[C/O1]	[C/O2]	planet	pop	SimbadName	_RA	_DE
HD10002   	5313	 4.48	 0.17	 143	 0.067	 0.048	      	      	 0.051	 0.174	      	 0.016	non 	thin 	HD10002   	024.28595	-29.39326
HD14452   	5313	 4.58	-0.16	  89	-0.044	 0.107	      	      	-0.389	 0.663	      	 0.345	non 	hamr 	HD14452   	033.39502	-79.02394
HD38355   	5314	 4.43	 0.09	 101	 0.053	 0.051	      	      	 0.106	 0.222	      	-0.053	non 	thin 	HD38355   	085.61417	-50.47492
HD25105   	5316	 4.55	-0.15	 293	 0.037	 0.035	      	      	 0.129	 0.127	      	-0.092	non 	thin 	HD25105   	059.48121	-36.25991
HD56380   	5317	 4.43	-0.42	 311	 0.290	 0.039	      	      	      	      	      	      	non 	thick	HD56380   	108.50429	-51.46899
HD82783   	5318	 4.49	 0.21	 236	-0.009	 0.071	-0.056	 0.235	-0.147	 0.160	 0.047	 0.138	non 	hamr 	HD82783   	143.36233	-30.66699
HD221580  	5322	 2.75	-1.13	 649	-0.306	 0.022	      	      	 0.565	 0.036	      	-0.871	non 	halo 	HD221580  	353.41731	-53.65814
HD98356   	5322	 4.48	 0.10	 243	-0.005	 0.071	      	      	 0.021	 0.125	      	-0.026	non 	thin 	HD98356   	169.66541	-10.12621
HD131653  	5324	 4.61	-0.66	 186	 0.348	 0.037	      	      	      	      	      	      	non 	thick	HD131653  	223.77949	-09.09731
HD168870  	5325	 4.50	-0.32	 213	 0.085	 0.083	      	      	      	      	      	      	non 	thin 	HD168870  	276.06270	-46.94318
HD36179   	5327	 4.52	-0.08	 103	 0.002	 0.031	      	      	      	      	      	      	non 	thin 	HD36179   	078.98196	-81.07207
HD223282  	5328	 4.56	-0.41	 237	 0.097	 0.063	      	      	 0.265	 0.164	      	-0.168	non 	thin 	HD223282  	357.08885	-27.89750
HD134929B 	5330	 4.43	 0.07	 141	 0.046	 0.040	      	      	-0.058	 0.226	      	 0.104	non 	thin 	HD134929  	228.49565	-41.45834
HD224287  	5330	 4.45	-0.29	  63	-0.145	 0.075	      	      	      	      	      	      	non 	thin 	HD224287  	359.14790	-50.30374
HD11964A  	5332	 3.97	 0.08	1387	-0.032	 0.024	 0.006	 0.053	 0.025	 0.050	-0.038	-0.057	jup 	thin 	HD11964A  	029.29003	-10.24243
HD48611   	5337	 4.58	-0.36	 419	 0.103	 0.044	      	      	-0.016	 0.156	      	 0.119	non 	thin 	HD48611   	099.46072	-70.93261
HD123265  	5338	 4.36	 0.19	 354	 0.092	 0.044	 0.101	 0.132	 0.040	 0.073	-0.009	 0.052	non 	hamr 	HD123265  	211.67200	-05.51834
HD62849   	5338	 3.66	-0.17	 294	 0.059	 0.023	      	      	 0.176	 0.062	      	-0.117	non 	thin 	HD62849   	115.84839	-52.50792
HD165920  	5339	 4.46	 0.29	 351	-0.010	 0.064	 0.127	 0.111	      	      	-0.137	      	non 	thin 	HD165920  	272.32366	-22.90844
HD162236  	5343	 4.50	-0.12	 492	 0.042	 0.051	 0.104	 0.189	 0.055	 0.084	-0.062	-0.013	non 	thin 	HD162236  	267.78055	-27.39637
HD167359  	5348	 4.53	-0.19	 242	 0.021	 0.083	      	      	 0.269	 0.116	      	-0.248	non 	thin 	HD167359  	273.95446	-23.81595
HD102136  	5349	 4.50	-0.09	  90	 0.072	 0.035	      	      	 0.075	 0.321	      	-0.003	non 	thin 	HD102136  	176.29746	-40.74601
HD13252   	5358	 4.39	-0.25	  57	 0.163	 0.074	      	      	 0.294	 0.353	      	-0.131	non 	thin 	HD13252   	032.23551	-27.41962
HD51608   	5358	 4.42	-0.07	 713	 0.006	 0.038	      	      	-0.009	 0.073	      	 0.015	nept	thin 	HD51608   	103.71392	-55.25933
HD168769  	5361	 4.51	-0.01	 192	-0.053	 0.035	      	      	 0.018	 0.183	      	-0.071	non 	thin 	HD168769  	275.83181	-39.52000
HD222721  	5361	 4.49	-0.31	  70	-0.057	 0.100	      	      	 0.321	 0.326	      	-0.378	non 	thin 	HD222721  	355.79132	-12.21894
HD88885   	5361	 4.52	-0.11	 116	 0.047	 0.030	      	      	-0.043	 0.329	      	 0.090	non 	thin 	HD88885   	153.63712	-27.03628
HD219077  	5362	 4.06	-0.13	 326	 0.010	 0.027	      	      	 0.138	 0.076	      	-0.128	jup 	hamr 	HD219077  	348.52745	-62.70000
HD62847   	5362	 4.54	-0.25	 186	 0.054	 0.098	      	      	 0.004	 0.250	      	 0.050	non 	thin 	HD62847   	115.96684	-46.85232
HD24892   	5363	 4.05	-0.32	 358	 0.122	 0.021	 0.282	 0.202	 0.339	 0.059	-0.160	-0.217	non 	thick	HD24892   	059.11945	-25.18134
HD61051   	5363	 4.43	-0.10	 225	 0.149	 0.034	      	      	 0.111	 0.138	      	 0.038	non 	hamr 	HD61051   	113.98402	-32.84142
HD130322  	5365	 4.43	-0.02	 347	-0.016	 0.046	      	      	 0.147	 0.082	      	-0.163	jup 	thin 	HD130322  	221.88636	-00.28147
HD44804   	5366	 4.54	 0.03	 293	-0.059	 0.048	      	      	-0.060	 0.146	      	 0.001	non 	thin 	HD44804   	095.48692	-40.88069
HD95533   	5366	 4.42	 0.16	 141	-0.086	 0.047	      	      	 0.013	 0.183	      	-0.099	non 	thin 	HD95533   	165.36274	-19.81946
HD73267   	5373	 4.43	 0.05	 345	 0.076	 0.034	      	      	      	      	      	      	jup 	hamr 	HD73267   	129.07407	-34.45998
HD154088  	5374	 4.43	 0.28	 684	 0.020	 0.048	 0.057	 0.072	 0.013	 0.045	-0.037	 0.007	nept	thin 	HD154088  	256.11601	-28.58268
HD196397  	5378	 4.39	 0.29	  99	-0.092	 0.066	 0.079	 0.313	      	      	-0.171	      	non 	thin 	HD196397  	309.35648	-11.87106
HD870     	5381	 4.48	-0.10	 301	-0.039	 0.067	 0.003	 0.286	-0.062	 0.152	-0.042	 0.023	non 	thin 	HD870     	003.20937	-57.91261
HD98281   	5381	 4.48	-0.26	1315	 0.034	 0.044	 0.085	 0.119	 0.056	 0.045	-0.051	-0.022	non 	thin 	HD98281   	169.59171	-05.06730
HD7199    	5386	 4.40	 0.28	 863	 0.006	 0.046	 0.060	 0.048	-0.159	 0.053	-0.054	 0.165	jup 	hamr 	HD7199    	017.69676	-66.18816
BD-131161 	5389	 4.43	 0.09	 106	 0.003	 0.075	 0.328	 0.293	 0.253	 0.169	-0.325	-0.250	non 	thin 	BD-131161 	082.20141	-13.54235
HD175607  	5392	 4.57	-0.62	 246	 0.257	 0.045	      	      	      	      	      	      	nept	thick	HD175607  	285.27287	-66.19268
HD66838   	5392	 4.35	 0.03	 135	 0.000	 0.049	 0.199	 0.303	-0.097	 0.249	-0.199	 0.097	non 	thin 	HD66838   	121.09206	-28.41676
HD30278   	5394	 4.45	-0.17	 712	 0.026	 0.045	 0.164	 0.127	 0.168	 0.052	-0.138	-0.142	non 	thin 	HD30278   	070.80702	-54.59343
HD12345   	5395	 4.50	-0.21	 178	 0.062	 0.040	      	      	 0.237	 0.163	      	-0.175	non 	thin 	HD12345   	030.20313	-12.87498
HD197823  	5396	 4.47	 0.12	 713	-0.004	 0.032	-0.026	 0.095	-0.128	 0.065	 0.022	 0.124	non 	thin 	HD197823  	311.81925	-35.15409
HD111515  	5398	 4.52	-0.61	 270	 0.224	 0.078	      	      	 0.260	 0.186	      	-0.036	non 	thick	HD111515  	192.43679	+01.18804
HD30669   	5400	 4.42	 0.13	 206	-0.065	 0.052	 0.038	 0.227	      	      	-0.103	      	jup 	thin 	HD30669   	072.11869	-28.41929
HD86171   	5400	 4.52	-0.25	 414	-0.011	 0.040	      	      	-0.037	 0.138	      	 0.026	non 	thin 	HD86171   	149.16016	-08.83456
HIP31639  	5400	 4.58	-0.54	  73	 0.327	 0.060	      	      	 0.446	 0.352	      	-0.119	non 	thick	HIP31639  	099.31097	-25.36106
HD20794   	5401	 4.45	-0.40	2033	 0.262	 0.016	 0.385	 0.061	 0.369	 0.046	-0.123	-0.107	nept	thick	HD20794   	049.98188	-43.06978
HD69830   	5402	 4.45	-0.06	2012	 0.004	 0.024	 0.073	 0.050	-0.009	 0.039	-0.069	 0.013	nept	thin 	HD69830   	124.59978	-12.63217
HD144342  	5403	 4.52	 0.07	 178	-0.003	 0.035	      	      	-0.047	 0.200	      	 0.044	non 	thin 	HD144342  	242.10887	-58.42953
HD8828    	5403	 4.51	-0.16	 356	 0.012	 0.027	      	      	 0.144	 0.106	      	-0.132	non 	thin 	HD8828    	021.75645	-00.15758
BD-082534 	5405	 4.48	-0.78	 121	 0.234	 0.064	      	      	 0.381	 0.329	      	-0.147	non 	thick	BD-082534 	134.32026	-09.46305
HD93351   	5408	 4.46	-0.23	 128	-0.031	 0.056	      	      	 0.033	 0.295	      	-0.064	non 	thin 	HD93351   	161.67755	-01.68796
HD97343   	5410	 4.44	-0.06	 431	 0.107	 0.025	 0.062	 0.174	 0.118	 0.075	 0.045	-0.011	non 	hamr 	HD97343   	168.00496	-26.13667
HD136894  	5412	 4.41	-0.10	 935	-0.017	 0.026	 0.101	 0.094	 0.065	 0.044	-0.118	-0.082	non 	thin 	HD136894  	231.01012	-27.30522
HD171587  	5412	 4.64	-0.64	 492	 0.148	 0.079	      	      	      	      	      	      	non 	thin 	HD171587  	279.03841	-10.89071
HD196761  	5415	 4.48	-0.31	 722	 0.055	 0.028	 0.159	 0.171	 0.167	 0.063	-0.104	-0.112	non 	thin 	HD196761  	310.04898	-23.77387
HIP1745   	5416	 4.44	-0.44	 108	 0.161	 0.024	      	      	 0.299	 0.271	      	-0.138	non 	thin 	HIP1745   	005.51690	-24.94499
HD145598  	5417	 4.53	-0.78	 200	 0.282	 0.074	      	      	 0.742	 0.123	      	-0.460	non 	thick	HD145598  	243.54138	-50.78488
HD132648  	5418	 4.54	-0.37	 783	 0.086	 0.031	      	      	 0.053	 0.074	      	 0.033	non 	thin 	HD132648  	225.47194	-47.00747
HD16297   	5422	 4.52	-0.01	 439	-0.069	 0.034	      	      	-0.080	 0.112	      	 0.011	non 	thin 	HD16297   	039.03264	-28.21860
HD216770  	5424	 4.43	 0.24	 538	 0.017	 0.045	 0.057	 0.083	-0.063	 0.065	-0.040	 0.080	jup 	thin 	HD216770  	343.97378	-26.65876
HD14374   	5425	 4.53	-0.04	 470	-0.029	 0.036	      	      	 0.043	 0.093	      	-0.072	non 	thin 	HD14374   	034.81682	-00.77984
HD150474  	5425	 4.06	 0.01	 127	-0.027	 0.023	      	      	 0.011	 0.183	      	-0.038	non 	thin 	HD150474  	250.69437	-37.34252
HD85119   	5425	 4.57	-0.20	 639	-0.011	 0.035	      	      	 0.233	 0.062	      	-0.244	non 	thin 	HD85119   	147.20872	-37.30965
HD128431  	5429	 4.48	-0.34	  79	 0.120	 0.019	      	      	      	      	      	      	non 	thin 	HD128431  	219.39169	-29.36741
HD190954  	5430	 4.51	-0.41	 225	 0.193	 0.083	      	      	      	      	      	      	non 	thick	HD190954  	302.45068	-51.71824
HD21693   	5430	 4.42	 0.00	 705	 0.017	 0.025	 0.118	 0.088	-0.004	 0.056	-0.101	 0.021	nept	thin 	HD21693   	051.80201	-58.32368
HD102843  	5432	 4.40	 0.16	  96	-0.016	 0.043	      	      	-0.305	 0.403	      	 0.289	non 	thin 	HD102843  	177.58721	-01.25246
HD63765   	5432	 4.47	-0.16	 856	-0.021	 0.030	 0.062	 0.116	-0.037	 0.063	-0.083	 0.016	jup 	thin 	HD63765   	116.95717	-54.26414
HD22282   	5433	 4.37	 0.12	  56	 0.056	 0.057	      	      	 0.102	 0.327	      	-0.046	non 	thin 	HD22282   	053.80376	-00.73890
HD45364   	5434	 4.43	-0.17	1104	 0.006	 0.069	 0.091	 0.084	 0.030	 0.054	-0.085	-0.024	jup 	thin 	HD45364   	096.41031	-31.48095
HD224619  	5436	 4.44	-0.20	 447	 0.078	 0.018	 0.099	 0.210	 0.108	 0.093	-0.021	-0.030	non 	thin 	HD224619  	359.86847	-20.03471
HD71835   	5438	 4.43	-0.04	 434	 0.002	 0.050	 0.080	 0.155	-0.131	 0.120	-0.078	 0.133	non 	thin 	HD71835   	127.04992	-36.72299
HD205536  	5442	 4.42	-0.05	 296	 0.040	 0.035	      	      	 0.183	 0.094	      	-0.143	non 	thin 	HD205536  	325.12406	-74.07428
HD124292  	5443	 4.41	-0.13	 975	 0.066	 0.020	 0.111	 0.094	 0.052	 0.048	-0.045	 0.014	non 	thin 	HD124292  	213.18849	-03.32008
HD89749   	5443	 4.52	-0.29	 114	 0.060	 0.083	      	      	-0.004	 0.376	      	 0.064	non 	thin 	HD89749   	155.23998	-28.74102
HD90711   	5444	 4.44	 0.24	 553	-0.004	 0.036	 0.029	 0.074	-0.056	 0.065	-0.033	 0.052	non 	thin 	HD90711   	157.05062	-06.60058
HD100508  	5449	 4.46	 0.39	 704	-0.075	 0.069	 0.015	 0.057	-0.048	 0.047	-0.090	-0.027	non 	thin 	HD100508  	173.30454	-67.05458
HD43197   	5449	 4.34	 0.36	 333	 0.002	 0.045	 0.083	 0.085	      	      	-0.081	      	jup 	thin 	HD43197   	093.39859	-29.89726
