#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-06-13T18:38:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62a783cd26d7c	
#INFO	-out.max=9999	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=9999
#-out.all=2
#-order=I
#-nav=cat:J/MNRAS/403/1413&tab:{J/MNRAS/403/1413/tablea1}&key:source=J/MNRAS/403/1413/tablea1&HTTPPRM:&&-ref=VIZ62a783cd26d7c&-out.max=1000&-out.form=ascii table&-out.all=2&-order=I&-oc.form=sexa&-out.src=J/MNRAS/403/1413/tablea1&-out=M0&-out=Z0&-out=Pulse&-out=Mcore&-out=Mcsh&-out=tcsh&-out=Ddredge&-out=lam&-out=lam.dup&-out=T(He-sh)&-out=Tbce&-out=T(H-sh)&-out=iPulse&-out=Mtot&-out=Lmax&-out=LHe.max&-out=Rmax&-out=Mbol&-out=Teff&-out=Yields&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/MNRAS/403/1413/tablea1
#-source=J/MNRAS/403/1413/tablea1
#-out=M0
#-out=Z0
#-out=Pulse
#-out=Mcore
#-out=Mcsh
#-out=tcsh
#-out=Ddredge
#-out=lam
#-out=lam.dup
#-out=T(He-sh)
#-out=Tbce
#-out=T(H-sh)
#-out=iPulse
#-out=Mtot
#-out=Lmax
#-out=LHe.max
#-out=Rmax
#-out=Mbol
#-out=Teff
#-out=Yields
#

#RESOURCE=yCat_74031413
#Name: J/MNRAS/403/1413
#Title: Updated stellar yields from AGB models (Karakas, 2010)
#Table	J_MNRAS_403_1413_tablea1:
#Name: J/MNRAS/403/1413/tablea1
#Title: Structural information from the new AGB models
#Column	M0	(F5.2)	[1/6] Initial mass	[ucd=phys.mass]
#Column	Z0	(F7.4)	Initial metallicity (0.0200, 0.0080, 0.0040, 0.0001)	[ucd=phys.abund.Z]
#Column	Pulse	(I4)	Pulse number	[ucd=meta.id]
#Column	Mcore	(F5.3)	Core mass	[ucd=phys.mass]
#Column	Mcsh	(E9.2)	Maximum mass of the intershell convection zone	[ucd=phys.mass]
#Column	tcsh	(F6.1)	Duration of intershell convection	[ucd=time.interval]
#Column	Ddredge	(E9.2)	Mass dredged into the envelope	[ucd=phys.mass]
#Column	lam	(E9.2)	Extent of the partial mixing zone, lambda	[ucd=stat.fit.param]
#Column	lam.dup	(D13.6)	{lambda}_dup_ defined by Goriely & Mowlavi (2000A&A...362..599G) (1)	[ucd=stat.fit.param]
#Column	T(He-sh)	(E9.2)	Maximum temperature in the He-shell	[ucd=phys.temperature]
#Column	Tbce	(E9.2)	Maximum temperature at the base of the convective envelope during the previous interpulse period	[ucd=phys.temperature]
#Column	T(H-sh)	(E9.2)	Maximum temperature in the H-shell during the previous interpulse period	[ucd=phys.temperature]
#Column	iPulse	(E9.2)	Interpulse period (note that the first entry is set to zero)	[ucd=time.period]
#Column	Mtot	(F5.3)	Total mass	[ucd=phys.mass]
#Column	Lmax	(E9.2)	Maximum radiated luminosity during the previous interpulse period	[ucd=phys.luminosity]
#Column	LHe.max	(E9.2)	Maximum He-luminosity during a thermal pulse	[ucd=phys.luminosity]
#Column	Rmax	(E9.2)	Maximum stellar radius during the previous interpulse period	[ucd=phys.size.radius;stat.max]
#Column	Mbol	(F6.2)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Teff	(F5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	Yields	(a6)	Yields for the various elements	[ucd=meta.ref.url]
M0	Z0	Pulse	Mcore	Mcsh	tcsh	Ddredge	lam	lam.dup	T(He-sh)	Tbce	T(H-sh)	iPulse	Mtot	Lmax	LHe.max	Rmax	Mbol	Teff	Yields
 4.50	 0.0200	  15	0.851	 5.22e-03	  34.7	 3.54e-03	 9.50e-01	 6.770792e-01	 3.32e+08	 4.67e+07	 7.83e+07	 1.07e+04	4.274	 2.42e+04	 9.88e+07	 6.01e+02	 -6.24	 3029	Yields
 4.50	 0.0200	  16	0.851	 5.33e-03	  35.2	 3.62e-03	 9.11e-01	 6.798327e-01	 3.33e+08	 4.58e+07	 7.84e+07	 1.14e+04	3.959	 2.42e+04	 1.33e+08	 6.25e+02	 -6.24	 3002	Yields
 4.50	 0.0200	  17	0.851	 5.36e-03	  35.1	 3.92e-03	 9.89e-01	 7.312054e-01	 3.39e+08	 3.88e+07	 7.83e+07	 1.15e+04	3.597	 2.39e+04	 1.56e+08	 6.55e+02	 -6.22	 2936	Yields
 4.50	 0.0200	  18	0.852	 5.58e-03	  33.8	 4.15e-03	 9.40e-01	 7.437250e-01	 3.43e+08	 3.21e+07	 7.83e+07	 1.28e+04	3.192	 2.36e+04	 2.24e+08	 6.96e+02	 -6.21	 2868	Yields
 4.50	 0.0200	  19	0.852	 5.67e-03	  36.0	 4.31e-03	 9.59e-01	 7.601839e-01	 3.46e+08	 2.23e+07	 7.80e+07	 1.33e+04	2.780	 2.32e+04	 2.75e+08	 7.45e+02	 -6.19	 2782	Yields
 4.50	 0.0200	  20	0.853	 5.77e-03	  34.8	 4.32e-03	 9.25e-01	 7.483769e-01	 3.49e+08	 2.61e+03	 7.78e+07	 1.40e+04	2.353	 2.28e+04	 3.55e+08	 8.07e+02	 -6.18	 2690	Yields
 4.50	 0.0200	  21	0.853	 5.74e-03	  36.3	 4.21e-03	 9.21e-01	 7.326037e-01	 3.44e+08	 2.65e+03	 7.78e+07	 1.36e+04	1.934	 2.29e+04	 3.76e+08	 7.98e+02	 -6.18	 2728	Yields
 5.50	 0.0200	   1	0.885	 2.68e-03	  37.8	 0.00e+00	 0.00e+00	 0.000000e+00	 2.27e+08	 2.20e+07	 7.20e+07	 0.00e+00	5.463	 2.16e+04	 9.17e+04	 4.52e+02	 -6.12	 3413	Yields
 5.50	 0.0200	   2	0.886	 3.06e-03	  30.7	 0.00e+00	 0.00e+00	 0.000000e+00	 2.39e+08	 2.67e+07	 7.32e+07	 3.56e+03	5.463	 2.25e+04	 2.11e+05	 4.66e+02	 -6.16	 3388	Yields
 5.50	 0.0200	   3	0.887	 3.13e-03	  27.4	 1.15e-05	 1.19e-02	 3.680748e-03	 2.47e+08	 3.15e+07	 7.42e+07	 3.81e+03	5.463	 2.32e+04	 3.38e+05	 4.77e+02	 -6.19	 3377	Yields
 5.50	 0.0200	   4	0.888	 3.17e-03	  25.7	 2.66e-04	 2.47e-01	 8.377003e-02	 2.56e+08	 3.66e+07	 7.52e+07	 3.95e+03	5.463	 2.39e+04	 5.26e+05	 4.89e+02	 -6.23	 3370	Yields
 5.50	 0.0200	   5	0.889	 3.21e-03	  23.0	 5.17e-04	 4.29e-01	 1.610256e-01	 2.64e+08	 4.30e+07	 7.61e+07	 4.04e+03	5.463	 2.47e+04	 8.43e+05	 5.01e+02	 -6.26	 3359	Yields
 5.50	 0.0200	   6	0.890	 3.24e-03	  23.1	 6.44e-04	 4.79e-01	 1.986608e-01	 2.71e+08	 4.96e+07	 7.70e+07	 4.16e+03	5.463	 2.55e+04	 1.27e+06	 5.14e+02	 -6.29	 3346	Yields
 5.50	 0.0200	   7	0.891	 3.24e-03	  21.1	 1.01e-03	 6.96e-01	 3.105464e-01	 2.77e+08	 5.51e+07	 7.78e+07	 4.29e+03	5.463	 2.63e+04	 1.84e+06	 5.30e+02	 -6.33	 3335	Yields
 5.50	 0.0200	   8	0.891	 3.31e-03	  20.9	 1.17e-03	 7.31e-01	 3.532601e-01	 2.84e+08	 6.02e+07	 7.86e+07	 4.37e+03	5.462	 2.74e+04	 3.07e+06	 5.47e+02	 -6.38	 3324	Yields
 5.50	 0.0200	   9	0.892	 3.31e-03	  20.0	 1.37e-03	 8.04e-01	 4.135635e-01	 2.90e+08	 6.29e+07	 7.92e+07	 4.54e+03	5.462	 2.83e+04	 4.30e+06	 5.63e+02	 -6.41	 3301	Yields
 5.50	 0.0200	  10	0.892	 3.35e-03	  20.9	 1.52e-03	 8.30e-01	 4.530345e-01	 2.93e+08	 6.53e+07	 7.98e+07	 4.68e+03	5.461	 2.93e+04	 6.37e+06	 5.78e+02	 -6.45	 3281	Yields
 5.50	 0.0200	  11	0.893	 3.37e-03	  19.8	 1.71e-03	 8.83e-01	 5.068149e-01	 3.01e+08	 6.69e+07	 8.03e+07	 4.85e+03	5.458	 3.01e+04	 7.52e+06	 5.92e+02	 -6.48	 3260	Yields
 5.50	 0.0200	  12	0.893	 3.42e-03	  21.1	 1.73e-03	 8.27e-01	 5.043810e-01	 3.07e+08	 6.84e+07	 8.08e+07	 5.09e+03	5.455	 3.10e+04	 1.28e+07	 6.04e+02	 -6.51	 3248	Yields
 5.50	 0.0200	  13	0.894	 3.41e-03	  22.4	 1.83e-03	 8.72e-01	 5.348281e-01	 3.09e+08	 6.94e+07	 8.12e+07	 5.10e+03	5.449	 3.15e+04	 1.56e+07	 6.12e+02	 -6.53	 3228	Yields
 5.50	 0.0200	  14	0.894	 3.46e-03	  19.5	 1.95e-03	 8.81e-01	 5.638336e-01	 3.14e+08	 7.06e+07	 8.16e+07	 5.28e+03	5.442	 3.22e+04	 2.07e+07	 6.20e+02	 -6.55	 3221	Yields
 5.50	 0.0200	  15	0.894	 3.50e-03	  21.1	 1.98e-03	 8.58e-01	 5.665547e-01	 3.18e+08	 7.18e+07	 8.20e+07	 5.45e+03	5.431	 3.29e+04	 2.68e+07	 6.26e+02	 -6.57	 3214	Yields
 5.50	 0.0200	  16	0.895	 3.48e-03	  21.3	 2.11e-03	 9.13e-01	 6.070523e-01	 3.20e+08	 7.29e+07	 8.23e+07	 5.44e+03	5.419	 3.33e+04	 3.08e+07	 6.30e+02	 -6.59	 3208	Yields
 5.50	 0.0200	  17	0.895	 3.59e-03	  22.4	 2.24e-03	 9.02e-01	 6.244975e-01	 3.26e+08	 7.40e+07	 8.28e+07	 5.74e+03	5.402	 3.39e+04	 4.38e+07	 6.36e+02	 -6.61	 3211	Yields
 5.50	 0.0200	  18	0.895	 3.61e-03	  22.9	 2.26e-03	 8.86e-01	 6.242926e-01	 3.30e+08	 7.51e+07	 8.31e+07	 5.84e+03	5.383	 3.44e+04	 5.36e+07	 6.37e+02	 -6.62	 3213	Yields
 5.50	 0.0200	  19	0.896	 3.60e-03	  22.1	 2.33e-03	 9.18e-01	 6.488031e-01	 3.34e+08	 7.60e+07	 8.35e+07	 5.82e+03	5.363	 3.46e+04	 5.83e+07	 6.37e+02	 -6.63	 3214	Yields
 5.50	 0.0200	  20	0.896	 3.63e-03	  22.0	 2.40e-03	 8.94e-01	 6.602699e-01	 3.34e+08	 7.69e+07	 8.39e+07	 6.07e+03	5.338	 3.51e+04	 6.99e+07	 6.40e+02	 -6.64	 3219	Yields
 5.50	 0.0200	  21	0.896	 3.62e-03	  20.8	 2.47e-03	 9.21e-01	 6.813297e-01	 3.36e+08	 7.78e+07	 8.42e+07	 6.04e+03	5.312	 3.53e+04	 7.74e+07	 6.41e+02	 -6.65	 3219	Yields
 5.50	 0.0200	  22	0.897	 3.69e-03	  21.1	 2.59e-03	 9.27e-01	 7.001339e-01	 3.40e+08	 7.84e+07	 8.45e+07	 6.24e+03	5.281	 3.56e+04	 9.60e+07	 6.43e+02	 -6.66	 3227	Yields
 5.50	 0.0200	  23	0.897	 3.73e-03	  20.9	 2.68e-03	 9.30e-01	 7.181911e-01	 3.42e+08	 7.89e+07	 8.47e+07	 6.41e+03	5.241	 3.59e+04	 1.11e+08	 6.44e+02	 -6.67	 3222	Yields
 5.50	 0.0200	  24	0.897	 3.75e-03	  19.7	 2.77e-03	 9.39e-01	 7.390393e-01	 3.47e+08	 7.92e+07	 8.49e+07	 6.53e+03	5.190	 3.61e+04	 1.27e+08	 6.48e+02	 -6.67	 3219	Yields
 5.50	 0.0200	  25	0.897	 3.86e-03	  19.2	 2.88e-03	 9.40e-01	 7.460643e-01	 3.44e+08	 7.93e+07	 8.50e+07	 6.74e+03	5.112	 3.61e+04	 1.57e+08	 6.54e+02	 -6.67	 3213	Yields
 5.50	 0.0200	  26	0.898	 3.84e-03	  18.5	 2.82e-03	 9.07e-01	 7.344040e-01	 3.49e+08	 7.92e+07	 8.51e+07	 6.82e+03	4.985	 3.61e+04	 1.71e+08	 6.59e+02	 -6.67	 3202	Yields
 5.50	 0.0200	  27	0.898	 3.77e-03	  20.6	 2.79e-03	 9.30e-01	 7.411599e-01	 3.48e+08	 7.87e+07	 8.50e+07	 6.59e+03	4.771	 3.57e+04	 1.62e+08	 6.61e+02	 -6.66	 3177	Yields
 5.50	 0.0200	  28	0.898	 3.81e-03	  20.1	 2.88e-03	 9.42e-01	 7.574263e-01	 3.51e+08	 7.79e+07	 8.48e+07	 6.71e+03	4.468	 3.49e+04	 1.69e+08	 6.68e+02	 -6.64	 3154	Yields
 5.50	 0.0200	  29	0.898	 3.91e-03	  19.7	 3.04e-03	 9.61e-01	 7.775712e-01	 3.54e+08	 7.64e+07	 8.45e+07	 6.92e+03	4.160	 3.39e+04	 2.22e+08	 6.77e+02	 -6.60	 3119	Yields
 5.50	 0.0200	  30	0.899	 3.92e-03	  17.9	 3.06e-03	 9.26e-01	 7.789760e-01	 3.56e+08	 7.44e+07	 8.41e+07	 7.22e+03	3.848	 3.27e+04	 2.30e+08	 6.85e+02	 -6.57	 3076	Yields
 5.50	 0.0200	  31	0.899	 3.98e-03	  18.3	 3.11e-03	 9.48e-01	 7.810269e-01	 3.58e+08	 7.07e+07	 8.36e+07	 7.23e+03	3.550	 3.12e+04	 2.82e+08	 6.93e+02	 -6.51	 3021	Yields
 5.50	 0.0200	  32	0.899	 4.03e-03	  19.3	 3.19e-03	 9.50e-01	 7.930499e-01	 3.60e+08	 6.39e+07	 8.30e+07	 7.56e+03	3.254	 2.97e+04	 3.03e+08	 7.05e+02	 -6.46	 2970	Yields
 5.50	 0.0200	  33	0.899	 4.08e-03	  18.9	 3.30e-03	 9.54e-01	 8.069295e-01	 3.58e+08	 4.79e+07	 8.24e+07	 8.06e+03	2.951	 2.83e+04	 3.36e+08	 7.35e+02	 -6.41	 2903	Yields
 5.50	 0.0200	  34	0.900	 4.16e-03	  20.9	 3.36e-03	 9.41e-01	 8.078101e-01	 3.52e+08	 3.01e+07	 8.18e+07	 8.58e+03	2.638	 2.73e+04	 4.10e+08	 7.78e+02	 -6.37	 2828	Yields
 5.50	 0.0200	  35	0.900	 4.17e-03	  20.6	 3.33e-03	 9.28e-01	 7.981061e-01	 3.50e+08	 1.48e+07	 8.13e+07	 8.79e+03	2.324	 2.66e+04	 4.41e+08	 8.36e+02	 -6.34	 2736	Yields
 5.50	 0.0200	  36	0.900	 4.19e-03	  20.1	 3.38e-03	 9.62e-01	 8.064158e-01	 3.67e+08	 1.73e+07	 8.13e+07	 8.56e+03	2.017	 2.68e+04	 4.63e+08	 8.25e+02	 -6.35	 2773	Yields
 4.50	 0.0080	   1	0.847	 3.29e-03	  52.0	 0.00e+00	 0.00e+00	 0.000000e+00	 2.16e+08	 9.51e+06	 7.02e+07	 0.00e+00	4.471	 1.62e+04	 5.54e+04	 3.43e+02	 -5.80	 3630	Yields
 4.50	 0.0080	   2	0.848	 4.44e-03	  37.8	 3.54e-05	 3.29e-02	 7.977116e-03	 2.38e+08	 1.32e+07	 7.23e+07	 5.96e+03	4.471	 1.73e+04	 3.01e+05	 3.62e+02	 -5.88	 3607	Yields
 4.50	 0.0080	   3	0.849	 4.50e-03	  33.2	 4.21e-04	 3.23e-01	 9.355322e-02	 2.50e+08	 1.61e+07	 7.37e+07	 6.84e+03	4.471	 1.81e+04	 5.93e+05	 3.74e+02	 -5.92	 3595	Yields
 4.50	 0.0080	   4	0.850	 4.53e-03	  16.3	 1.02e-03	 6.54e-01	 2.260598e-01	 2.62e+08	 1.92e+07	 7.49e+07	 7.31e+03	4.471	 1.89e+04	 1.16e+06	 3.86e+02	 -5.97	 3576	Yields
 4.50	 0.0080	   5	0.851	 4.58e-03	  28.1	 1.61e-03	 8.56e-01	 3.522235e-01	 2.73e+08	 2.25e+07	 7.61e+07	 7.91e+03	4.471	 1.95e+04	 2.32e+06	 4.00e+02	 -6.01	 3556	Yields
 4.50	 0.0080	   6	0.852	 4.63e-03	  27.9	 1.91e-03	 8.71e-01	 4.130944e-01	 2.83e+08	 2.63e+07	 7.71e+07	 8.51e+03	4.470	 2.02e+04	 4.58e+06	 4.13e+02	 -6.04	 3498	Yields
 4.50	 0.0080	   7	0.852	 4.66e-03	  28.1	 2.06e-03	 8.42e-01	 4.415736e-01	 2.90e+08	 3.01e+07	 7.79e+07	 9.08e+03	4.470	 2.07e+04	 8.05e+06	 4.26e+02	 -6.07	 3455	Yields
 4.50	 0.0080	   8	0.853	 4.68e-03	  28.1	 2.50e-03	 9.46e-01	 5.345695e-01	 2.99e+08	 3.34e+07	 7.86e+07	 9.56e+03	4.470	 2.12e+04	 1.09e+07	 4.39e+02	 -6.10	 3418	Yields
 4.50	 0.0080	   9	0.853	 4.77e-03	  29.6	 2.72e-03	 9.18e-01	 5.695229e-01	 3.07e+08	 3.76e+07	 7.92e+07	 1.02e+04	4.470	 2.17e+04	 2.32e+07	 4.52e+02	 -6.12	 3390	Yields
 4.50	 0.0080	  10	0.854	 4.85e-03	  30.4	 2.98e-03	 9.47e-01	 6.135339e-01	 3.13e+08	 4.14e+07	 7.97e+07	 1.06e+04	4.470	 2.22e+04	 3.48e+07	 4.65e+02	 -6.14	 3356	Yields
 4.50	 0.0080	  11	0.854	 4.94e-03	  31.1	 3.29e-03	 9.68e-01	 6.650831e-01	 3.19e+08	 4.51e+07	 8.02e+07	 1.11e+04	4.469	 2.26e+04	 5.35e+07	 4.76e+02	 -6.17	 3335	Yields
 4.50	 0.0080	  12	0.855	 5.07e-03	  32.1	 3.56e-03	 9.67e-01	 7.016333e-01	 3.27e+08	 4.90e+07	 8.06e+07	 1.18e+04	4.469	 2.31e+04	 8.18e+07	 4.87e+02	 -6.19	 3316	Yields
 4.50	 0.0080	  13	0.855	 5.25e-03	  31.7	 3.86e-03	 9.80e-01	 7.352998e-01	 3.32e+08	 5.28e+07	 8.10e+07	 1.23e+04	4.468	 2.36e+04	 1.24e+08	 4.97e+02	 -6.21	 3302	Yields
 4.50	 0.0080	  14	0.855	 5.37e-03	  34.1	 3.85e-03	 9.20e-01	 7.168159e-01	 3.37e+08	 5.68e+07	 8.13e+07	 1.28e+04	4.466	 2.43e+04	 1.51e+08	 5.05e+02	 -6.24	 3306	Yields
 4.50	 0.0080	  15	0.856	 5.42e-03	  33.7	 4.01e-03	 9.54e-01	 7.390554e-01	 3.41e+08	 6.03e+07	 8.16e+07	 1.26e+04	4.465	 2.51e+04	 1.92e+08	 5.07e+02	 -6.28	 3316	Yields
 4.50	 0.0080	  16	0.856	 5.47e-03	  31.2	 4.13e-03	 9.47e-01	 7.553517e-01	 3.39e+08	 6.29e+07	 8.18e+07	 1.29e+04	4.463	 2.59e+04	 2.33e+08	 5.13e+02	 -6.31	 3341	Yields
 4.50	 0.0080	  17	0.856	 5.54e-03	  30.1	 4.24e-03	 9.29e-01	 7.645211e-01	 3.44e+08	 6.43e+07	 8.20e+07	 1.33e+04	4.460	 2.65e+04	 2.78e+08	 5.21e+02	 -6.34	 3342	Yields
 4.50	 0.0080	  18	0.856	 5.60e-03	  25.2	 4.53e-03	 9.63e-01	 8.078297e-01	 3.46e+08	 6.50e+07	 8.21e+07	 1.36e+04	4.455	 2.68e+04	 3.47e+08	 5.29e+02	 -6.35	 3311	Yields
 4.50	 0.0080	  19	0.857	 5.65e-03	  25.3	 4.46e-03	 9.32e-01	 7.885339e-01	 3.40e+08	 6.56e+07	 8.21e+07	 1.38e+04	4.448	 2.70e+04	 4.25e+08	 5.40e+02	 -6.36	 3281	Yields
