#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-09-26T23:11:37 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-09-26T23:11:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJS/225/24/element&-order=I&-out=Sp&-out=OP1.65&-out=OP2&-out=OP3&-out=OP4&-out=OP5&-out=OP15&-out=OP20&-out=OP25&-out=OP32&-out=OP60&-out=Set&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22250024
#Name: J/ApJS/225/24
#Title: NuGrid stellar data set I. Yields from H to Bi (Pignatari+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apjs/225/24	    IVOID of underlying data collection
#INFO	creator=Pignatari M.	    First author or institution
#INFO	cites=bibcode:2016ApJS..225...24P	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/225/24	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22250024	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_225_24_element:
#Name: J/ApJS/225/24/element
#Title: The element overproduction  factors in stellar winds is given for the stars of  Set1.2  and Set 1.1
#Column	Sp	(A2)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	OP1.65	(E9.2)	[0/3] Overproduction factor for 1.65M_{sun}_ model	[ucd=stat.param]
#Column	OP2	(E9.2)	[0/8] Overproduction factor for 2M_{sun}_ model	[ucd=stat.param]
#Column	OP3	(E9.2)	[0/8] Overproduction factor for 3M_{sun}_ model	[ucd=stat.param]
#Column	OP4	(E9.2)	[0/10] Overproduction factor for 4M_{sun}_ model	[ucd=stat.param]
#Column	OP5	(E9.2)	[0/5] Overproduction factor for 5M_{sun}_ model	[ucd=stat.param]
#Column	OP15	(E9.2)	[0/3] Overproduction factor for 15M_{sun}_ model	[ucd=stat.param]
#Column	OP20	(E9.2)	[0/3] Overproduction factor for 20M_{sun}_ model	[ucd=stat.param]
#Column	OP25	(E9.2)	[0/4] Overproduction factor for 25M_{sun}_ model	[ucd=stat.param]
#Column	OP32	(E9.2)	[0/6]? Overproduction factor for 32M_{sun}_ model (only for table 12)	[ucd=stat.param]
#Column	OP60	(E9.2)	[0/19]? Overproduction factor for 60M_{sun}_ model (only for table 12)	[ucd=stat.param]
#Column	Set	(A3)	Set number	[ucd=meta.id]
Sp	OP1.65	OP2	OP3	OP4	OP5	OP15	OP20	OP25	OP32	OP60	Set
Ca	 9.99e-01	 9.91e-01	 9.92e-01	 9.92e-01	 9.97e-01	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.93e-01	1.2
Sc	 1.01e+00	 1.09e+00	 1.20e+00	 1.32e+00	 1.12e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.20e+00	1.2
Ti	 1.00e+00	 9.98e-01	 1.01e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	1.2
V 	 1.00e+00	 9.93e-01	 9.93e-01	 9.96e-01	 9.98e-01	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.04e+00	1.2
Cr	 1.00e+00	 9.95e-01	 9.98e-01	 9.96e-01	 9.98e-01	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.99e-01	1.2
Mn	 1.01e+00	 1.02e+00	 1.02e+00	 9.92e-01	 9.97e-01	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.21e+00	1.2
Fe	 1.00e+00	 9.94e-01	 9.96e-01	 9.93e-01	 9.97e-01	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.98e-01	1.2
Co	 1.02e+00	 1.26e+00	 1.51e+00	 1.52e+00	 1.21e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.26e+00	1.2
Ni	 9.99e-01	 1.00e+00	 1.03e+00	 1.05e+00	 1.03e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.83e-01	1.2
Cu	 1.02e+00	 1.28e+00	 1.89e+00	 2.73e+00	 1.73e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.19e+00	1.2
Zn	 1.00e+00	 1.04e+00	 1.20e+00	 1.55e+00	 1.22e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.92e-01	1.2
Ga	 1.00e+00	 1.08e+00	 1.44e+00	 3.04e+00	 1.79e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.07e+00	1.2
Ge	 1.00e+00	 1.06e+00	 1.35e+00	 3.33e+00	 1.90e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.02e+00	1.2
As	 9.99e-01	 1.02e+00	 1.19e+00	 2.80e+00	 1.68e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.55e-01	1.2
Se	 1.00e+00	 1.04e+00	 1.22e+00	 3.65e+00	 1.98e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.99e-01	1.2
Br	 9.99e-01	 1.02e+00	 1.15e+00	 3.13e+00	 1.79e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.53e-01	1.2
Kr	 1.00e+00	 1.05e+00	 1.20e+00	 4.67e+00	 2.36e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.04e+00	1.2
Rb	 9.93e-01	 1.06e+00	 1.28e+00	 9.14e+00	 4.00e+00	 9.96e-01	 9.96e-01	 9.96e-01	 9.96e-01	 9.97e-01	1.2
Sr	 1.01e+00	 1.25e+00	 1.65e+00	 5.06e+00	 2.49e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.05e+00	1.2
Y 	 1.01e+00	 1.26e+00	 1.75e+00	 5.41e+00	 2.58e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.01e+00	1.2
Zr	 1.01e+00	 1.23e+00	 1.70e+00	 4.16e+00	 2.13e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.98e-01	1.2
Nb	 1.01e+00	 1.23e+00	 1.74e+00	 4.20e+00	 2.13e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.45e-01	1.2
Mo	 1.01e+00	 1.15e+00	 1.47e+00	 2.58e+00	 1.56e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.03e+00	1.2
Tc	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	1.2
Ru	 1.00e+00	 1.10e+00	 1.32e+00	 1.71e+00	 1.26e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.60e-01	1.2
Rh	 9.98e-01	 1.03e+00	 1.12e+00	 1.27e+00	 1.10e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 8.84e-01	1.2
Pd	 1.01e+00	 1.15e+00	 1.44e+00	 1.78e+00	 1.30e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.03e+00	1.2
Ag	 1.00e+00	 1.05e+00	 1.19e+00	 1.34e+00	 1.13e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.34e-01	1.2
Cd	 1.01e+00	 1.21e+00	 1.61e+00	 1.98e+00	 1.37e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.06e+00	1.2
In	 1.00e+00	 1.12e+00	 1.38e+00	 1.57e+00	 1.22e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.42e-01	1.2
Sn	 1.01e+00	 1.23e+00	 1.72e+00	 1.98e+00	 1.37e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.01e+00	1.2
Sb	 1.00e+00	 1.08e+00	 1.32e+00	 1.51e+00	 1.19e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.01e-01	1.2
Te	 1.00e+00	 1.05e+00	 1.19e+00	 1.23e+00	 1.08e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.82e-01	1.2
I 	 9.98e-01	 1.03e+00	 1.13e+00	 1.14e+00	 1.05e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 8.79e-01	1.2
Xe	 1.00e+00	 1.08e+00	 1.27e+00	 1.26e+00	 1.09e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.02e+00	1.2
Cs	 1.00e+00	 1.06e+00	 1.22e+00	 1.16e+00	 1.06e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.43e-01	1.2
Ba	 1.02e+00	 1.41e+00	 2.42e+00	 1.93e+00	 1.28e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.04e+00	1.2
La	 1.01e+00	 1.32e+00	 2.22e+00	 1.79e+00	 1.21e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.98e-01	1.2
Ce	 1.01e+00	 1.29e+00	 2.13e+00	 1.74e+00	 1.17e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	1.2
Pr	 1.00e+00	 1.17e+00	 1.74e+00	 1.53e+00	 1.12e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.53e-01	1.2
Nd	 1.01e+00	 1.17e+00	 1.71e+00	 1.50e+00	 1.11e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.94e-01	1.2
Pm	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	1.2
Sm	 1.00e+00	 1.06e+00	 1.31e+00	 1.27e+00	 1.06e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.28e-01	1.2
Eu	 9.95e-01	 9.89e-01	 1.04e+00	 1.05e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 8.41e-01	1.2
Gd	 1.00e+00	 1.03e+00	 1.18e+00	 1.20e+00	 1.04e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.90e-01	1.2
Tb	 9.97e-01	 9.98e-01	 1.07e+00	 1.08e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.08e-01	1.2
Dy	 1.00e+00	 1.03e+00	 1.18e+00	 1.16e+00	 1.04e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.04e+00	1.2
Ho	 9.97e-01	 9.94e-01	 1.05e+00	 1.07e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 8.97e-01	1.2
Er	 1.00e+00	 1.04e+00	 1.19e+00	 1.24e+00	 1.04e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.03e+00	1.2
Tm	 9.99e-01	 1.01e+00	 1.10e+00	 1.12e+00	 1.02e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.35e-01	1.2
Yb	 1.01e+00	 1.12e+00	 1.46e+00	 1.47e+00	 1.09e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.14e+00	1.2
Lu	 1.00e+00	 1.06e+00	 1.28e+00	 1.27e+00	 1.05e+00	 9.99e-01	 1.00e+00	 9.99e-01	 1.00e+00	 9.21e-01	1.2
Hf	 1.01e+00	 1.18e+00	 1.66e+00	 1.60e+00	 1.13e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.10e+00	1.2
Ta	 1.00e+00	 1.06e+00	 1.26e+00	 1.26e+00	 1.05e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 8.99e-01	1.2
W 	 1.01e+00	 1.16e+00	 1.62e+00	 1.58e+00	 1.12e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.01e+00	1.2
Re	 9.98e-01	 1.03e+00	 1.19e+00	 1.20e+00	 1.04e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 8.54e-01	1.2
Os	 9.98e-01	 1.01e+00	 1.10e+00	 1.11e+00	 1.02e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.17e-01	1.2
Ir	 9.94e-01	 9.73e-01	 9.79e-01	 9.99e-01	 9.94e-01	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 8.41e-01	1.2
Pt	 9.99e-01	 9.91e-01	 1.02e+00	 1.05e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.01e+00	1.2
Au	 1.00e+00	 9.96e-01	 1.03e+00	 1.05e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.02e+00	1.2
Hg	 1.03e+00	 1.23e+00	 1.70e+00	 1.62e+00	 1.13e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.44e+00	1.2
Tl	 1.01e+00	 1.15e+00	 1.58e+00	 1.54e+00	 1.13e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.96e-01	1.2
Pb	 1.00e+00	 1.04e+00	 1.21e+00	 1.43e+00	 1.10e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	1.2
Bi	 1.00e+00	 9.96e-01	 1.01e+00	 1.11e+00	 1.03e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	 9.98e-01	1.2
H 	 9.68e-01	 9.44e-01	 9.36e-01	 9.29e-01	 8.88e-01	 9.94e-01	 9.80e-01	 9.33e-01	         	         	1.1
He	 1.07e+00	 1.09e+00	 1.11e+00	 1.17e+00	 1.30e+00	 1.02e+00	 1.05e+00	 1.19e+00	         	         	1.1
C 	 2.61e+00	 7.70e+00	 7.36e+00	 3.64e+00	 1.98e+00	 8.70e-01	 8.81e-01	 7.77e-01	         	         	1.1
N 	 2.28e+00	 2.62e+00	 3.07e+00	 3.48e+00	 4.60e+00	 1.65e+00	 1.83e+00	 3.04e+00	         	         	1.1
O 	 1.19e+00	 2.07e+00	 1.97e+00	 1.30e+00	 1.01e+00	 9.82e-01	 9.53e-01	 8.51e-01	         	         	1.1
F 	 1.42e+00	 4.45e+00	 5.10e+00	 1.06e+00	 8.24e-01	 9.81e-01	 9.48e-01	 8.29e-01	         	         	1.1
Ne	 1.09e+00	 1.59e+00	 1.57e+00	 1.13e+00	 1.05e+00	 9.98e-01	 9.96e-01	 9.85e-01	         	         	1.1
Na	 1.15e+00	 1.50e+00	 1.62e+00	 1.64e+00	 1.81e+00	 1.09e+00	 1.23e+00	 1.77e+00	         	         	1.1
Mg	 1.01e+00	 1.12e+00	 1.25e+00	 1.30e+00	 1.16e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Al	 1.01e+00	 1.03e+00	 1.04e+00	 1.12e+00	 1.08e+00	 1.00e+00	 1.00e+00	 1.01e+00	         	         	1.1
Si	 1.00e+00	 1.00e+00	 1.00e+00	 1.01e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
P 	 1.00e+00	 1.03e+00	 1.06e+00	 1.10e+00	 1.06e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
S 	 1.00e+00	 9.97e-01	 9.94e-01	 9.97e-01	 9.98e-01	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Cl	 1.01e+00	 1.05e+00	 1.06e+00	 1.03e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ar	 9.99e-01	 9.95e-01	 9.92e-01	 9.96e-01	 9.98e-01	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
K 	 1.00e+00	 1.02e+00	 1.01e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ca	 9.99e-01	 9.95e-01	 9.91e-01	 9.95e-01	 9.97e-01	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Sc	 1.02e+00	 1.13e+00	 1.22e+00	 1.20e+00	 1.11e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ti	 1.00e+00	 1.00e+00	 1.01e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
V 	 1.00e+00	 9.96e-01	 9.91e-01	 9.97e-01	 9.99e-01	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Cr	 1.00e+00	 9.99e-01	 9.96e-01	 9.97e-01	 9.99e-01	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Mn	 1.00e+00	 1.00e+00	 9.88e-01	 9.90e-01	 9.95e-01	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Fe	 1.00e+00	 9.98e-01	 9.94e-01	 9.95e-01	 9.98e-01	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Co	 1.04e+00	 1.35e+00	 1.51e+00	 1.32e+00	 1.17e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ni	 9.99e-01	 1.01e+00	 1.03e+00	 1.03e+00	 1.02e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Cu	 1.03e+00	 1.46e+00	 2.00e+00	 1.69e+00	 1.40e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Zn	 1.00e+00	 1.08e+00	 1.25e+00	 1.37e+00	 1.19e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ga	 1.01e+00	 1.16e+00	 1.64e+00	 2.38e+00	 1.68e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ge	 1.01e+00	 1.11e+00	 1.53e+00	 2.57e+00	 1.79e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
As	 1.00e+00	 1.06e+00	 1.32e+00	 2.21e+00	 1.61e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Se	 1.00e+00	 1.08e+00	 1.34e+00	 2.79e+00	 1.90e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Br	 9.96e-01	 1.01e+00	 1.10e+00	 1.79e+00	 1.40e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Kr	 1.00e+00	 1.09e+00	 1.25e+00	 3.55e+00	 2.34e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Rb	 1.00e+00	 1.11e+00	 1.42e+00	 6.60e+00	 3.92e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Sr	 1.02e+00	 1.38e+00	 1.54e+00	 3.72e+00	 2.41e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Y 	 1.02e+00	 1.42e+00	 1.65e+00	 3.95e+00	 2.53e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Zr	 1.02e+00	 1.38e+00	 1.62e+00	 3.08e+00	 2.07e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Nb	 9.93e-01	 9.72e-01	 9.69e-01	 9.87e-01	 9.94e-01	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Mo	 1.01e+00	 1.27e+00	 1.40e+00	 2.08e+00	 1.56e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Tc	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	         	         	1.1
Ru	 1.01e+00	 1.16e+00	 1.23e+00	 1.45e+00	 1.24e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Rh	 9.99e-01	 1.07e+00	 1.10e+00	 1.20e+00	 1.10e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Pd	 1.01e+00	 1.26e+00	 1.37e+00	 1.56e+00	 1.29e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ag	 9.99e-01	 1.06e+00	 1.09e+00	 1.15e+00	 1.08e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Cd	 1.02e+00	 1.36e+00	 1.54e+00	 1.69e+00	 1.35e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
In	 1.01e+00	 1.23e+00	 1.34e+00	 1.41e+00	 1.21e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Sn	 1.02e+00	 1.42e+00	 1.68e+00	 1.69e+00	 1.34e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Sb	 1.00e+00	 1.17e+00	 1.34e+00	 1.36e+00	 1.17e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Te	 1.00e+00	 1.12e+00	 1.19e+00	 1.16e+00	 1.08e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
I 	 9.99e-01	 1.08e+00	 1.12e+00	 1.10e+00	 1.05e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
