#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-22T23:00:34 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-22T23:00:34	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+A/655/A117&tab:{J/A+A/655/A117/table2}&key:source=J/A+A/655/A117&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/655/A117/table2
#-order=I
#-out=Name
#-out=Num
#-out=[C/H]
#-out=[O/H]
#-out=e_[C/H]
#-out=e_[O/H]
#-out=e_[C/O]
#-out=e_[C/Fe]
#-out=e_[O/Fe]
#-out=AO7772
#-out=AO7774
#-out=AO7775
#-out=AC9061
#-out=AC9063
#-out=AC9078
#-out=AC9089
#-out=AC9094
#-out=AC9111
#-out=Flag1
#-out=Flag2
#-out=Flag3
#-out=Flag4
#-out=Flag5
#-out=Flag6
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	

#RESOURCE=yCat_36550117
#Name: J/A+A/655/A117
#Title: Carbon and oxygen in microlensed bulge dwarfs (Bensby+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/655/a117	
#INFO	publisher=CDS	
#INFO	creator=Bensby T.	
#INFO	related_resource=bibcode:2021A&A...655A.117B	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/655/A117	
#INFO	publication_id=doi:10.26093/cds/vizier.36550117	
#INFO	publication_date=2022-10-10	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_655_A117_table2:
#Name: J/A+A/655/A117/table2
#Title: C and O abundances and uncertainties.
#Column	Name	(A19)	Name of microlensing source star	[ucd=meta.id;meta.main]
#Column	Num	(I6)	Internal numbering of star	[ucd=meta.id]
#Column	[C/H]	(F5.2)	? [C/H] abundance normalised to Sun	[ucd=phys.abund]
#Column	[O/H]	(F5.2)	? [O/H] abundance normalised to Sun	[ucd=phys.abund]
#Column	e_[C/H]	(F5.2)	? Error on [C/H]	[ucd=stat.error;phys.abund]
#Column	e_[O/H]	(F5.2)	? Error on [O/H]	[ucd=stat.error;phys.abund]
#Column	e_[C/O]	(F5.2)	? Error on [C/O]	[ucd=stat.error;phys.abund]
#Column	e_[C/Fe]	(F5.2)	? Error on [C/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[O/Fe]	(F5.2)	? Error on [O/Fe]	[ucd=stat.error;phys.abund]
#Column	AO7772	(F5.2)	? Absolute abundance for O 7772 line	[ucd=phys.abund]
#Column	AO7774	(F5.2)	? Absolute abundance for O 7774 line	[ucd=phys.abund]
#Column	AO7775	(F5.2)	? Absolute abundance for O 7775 line	[ucd=phys.abund]
#Column	AC9061	(F5.2)	? Absolute abundance for C 9061 line	[ucd=phys.abund]
#Column	AC9063	(F5.2)	? Absolute abundance for C 9063 line	[ucd=phys.abund]
#Column	AC9078	(F5.2)	? Absolute abundance for C 9078 line	[ucd=phys.abund]
#Column	AC9089	(F5.2)	? Absolute abundance for C 9089 line	[ucd=phys.abund]
#Column	AC9094	(F5.2)	? Absolute abundance for C 9094 line	[ucd=phys.abund]
#Column	AC9111	(F5.2)	? Absolute abundance for C 9111 line	[ucd=phys.abund]
#Column	Flag1	(I1)	[0/2]? Flag on C 9061 line (1)	[ucd=meta.code.error]
#Column	Flag2	(I1)	[0/2]? Flag on C 9063 line (1)	[ucd=meta.code.error]
#Column	Flag3	(I1)	[0/2]? Flag on C 9078 line (1)	[ucd=meta.code.error]
#Column	Flag4	(I1)	[0/2]? Flag on C 9089 line (1)	[ucd=meta.code.error]
#Column	Flag5	(I1)	[0/2]? Flag on C 9094 line (1)	[ucd=meta.code.error]
#Column	Flag6	(I1)	[0/2]? Flag on C 9111 line (1)	[ucd=meta.code.error]
#Column	SimbadName	(A17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Num	[C/H]	[O/H]	e_[C/H]	e_[O/H]	e_[C/O]	e_[C/Fe]	e_[O/Fe]	AO7772	AO7774	AO7775	AC9061	AC9063	AC9078	AC9089	AC9094	AC9111	Flag1	Flag2	Flag3	Flag4	Flag5	Flag6	SimbadName	_RA	_DE
MOA-2011-BLG-445S  	911445	     	 0.32	     	 0.35	     	     	 0.47	 8.83	 9.17	 8.83	     	     	     	     	     	     	 	 	 	 	 	 	MOA 2011-BLG-445 	271.19012	-28.59557
MOA-2012-BLG-022S  	920022	 0.46	 0.25	 0.51	 0.40	 0.12	 0.51	 0.41	 8.86	 8.86	 8.90	 8.83	 8.90	 8.95	     	 8.89	 8.87	0	0	0	1	0	0	MOA 2012-BLG-022 	269.42071	-27.49902
OGLE-2012-BLG-0026S	920026	 0.33	 0.29	 0.25	 0.24	 0.08	 0.51	 0.50	 8.38	 9.11	 9.27	 8.80	 8.90	     	     	 8.65	 8.67	0	0	2	0	0	0	EWS 2012-BLG-0026	263.57792	-27.14274
MOA-2012-BLG-187S  	920187	-0.51	-0.25	 0.42	 0.21	 0.21	 0.43	 0.23	 8.38	 8.36	 8.39	 7.88	 7.95	 7.93	     	 7.93	 7.88	0	2	0	2	0	0	MOA 2012-BLG-187 	272.00904	-29.46981
MOA-2012-BLG-202S  	920202	-0.47	 0.00	 0.12	 0.15	 0.03	 0.18	 0.20	 8.79	 8.59	 8.49	 7.93	 8.02	 8.09	     	 7.87	 7.87	1	2	2	0	2	0	MOA 2012-BLG-202 	273.14529	-25.04981
OGLE-2012-BLG-0211S	920211	-0.17	-0.14	 0.10	 0.10	 0.01	 0.13	 0.13	 8.53	 8.47	 8.46	 8.11	     	 8.21	     	 8.38	 8.36	0	0	0	2	0	0	EWS 2012-BLG-0211	272.54567	-25.02783
OGLE-2012-BLG-0270S	920270	-0.66	-0.36	 0.12	 0.23	 0.13	 0.17	 0.26	 8.20	 8.28	 8.32	 7.73	 7.81	 7.81	     	 7.70	 7.76	0	0	0	0	1	2	EWS 2012-BLG-0270	258.67692	-29.59733
MOA-2012-BLG-291S  	920291	 0.02	 0.21	 0.26	 0.28	 0.17	 0.35	 0.37	 8.72	 8.95	     	 8.38	 8.36	 8.49	     	 8.45	 8.54	2	2	2	2	0	0	MOA 2012-BLG-291 	270.67950	-28.38357
MOA-2012-BLG-391S  	920391	-0.13	-0.06	 0.18	 0.08	 0.12	 0.20	 0.10	 8.53	 8.62	 8.54	 8.33	 8.24	 8.34	     	 8.28	 8.27	0	2	0	2	0	0	MOA 2012-BLG-391 	269.73612	-31.44197
MOA-2012-BLG-410S  	920410	-0.10	-0.05	 0.08	 0.09	 0.02	 0.10	 0.12	 8.45	 8.58	 8.69	 8.27	 8.41	 8.31	     	 8.35	 8.27	1	0	2	0	2	0	MOA 2012-BLG-410 	272.59425	-25.17134
OGLE-2012-BLG-0521S	920521	-0.07	 0.08	 0.11	 0.17	 0.09	 0.19	 0.23	 8.53	 8.78	 8.82	 8.37	 8.32	 8.34	     	 8.42	 8.34	0	0	0	0	0	0	EWS 2012-BLG-0521	271.40334	-25.76333
MOA-2012-BLG-532S  	920532	-0.70	-0.25	 0.08	 0.21	 0.13	 0.22	 0.30	 8.01	 8.63	 8.49	 7.85	 7.62	     	     	 7.71	 7.71	0	2	2	2	0	0	MOA 2012-BLG-532 	269.67137	-30.03661
OGLE-2012-BLG-0563S	920563	-0.49	-0.20	 0.09	 0.14	 0.05	 0.11	 0.15	 8.39	 8.43	 8.46	 7.91	 7.94	 7.97	     	 7.88	 8.00	0	0	0	0	2	0	EWS 2012-BLG-0563	271.49050	-27.71200
OGLE-2012-BLG-0617S	920617	-0.13	 0.09	 0.04	 0.12	 0.08	 0.10	 0.15	 8.67	 8.77	 8.70	 8.32	 8.38	 8.28	     	 8.23	 8.25	0	0	0	0	2	0	EWS 2012-BLG-0617	268.72446	-31.13864
OGLE-2012-BLG-0816S	920816	     	-0.13	     	 0.16	     	     	 0.21	 8.48	     	     	     	     	     	     	     	     	 	 	 	 	 	 	EWS 2012-BLG-0816	269.56658	-29.95596
OGLE-2012-BLG-1156S	921156	-1.91	-1.29	 0.81	 0.36	 0.48	 0.85	 0.44	 7.31	 7.56	 7.15	     	     	     	 6.71	 6.37	 6.50	2	0	2	0	0	0	EWS 2012-BLG-1156	270.14979	-28.18756
OGLE-2012-BLG-1217S	921217	-0.22	 0.01	 0.57	 0.73	 0.17	 0.57	 0.74	 8.64	 8.66	 8.61	 8.17	 8.21	 8.21	     	 8.26	 8.20	0	0	0	0	0	0	EWS 2012-BLG-1217	272.57021	-27.63306
OGLE-2012-BLG-1274S	921274	 0.04	 0.03	 0.08	 0.06	 0.06	 0.09	 0.08	 8.69	 8.67	 8.62	 8.45	 8.48	 8.42	     	 8.46	 8.51	0	2	0	0	1	0	EWS 2012-BLG-1274	266.25271	-34.54708
OGLE-2012-BLG-1279S	921279	     	-0.16	     	 0.12	     	     	 0.14	 8.45	 8.42	 8.52	     	     	     	     	     	     	 	 	 	 	 	 	EWS 2012-BLG-1279	269.21829	-31.78181
OGLE-2012-BLG-1526S	921526	-0.10	 0.05	 0.11	 0.08	 0.06	 0.13	 0.10	 8.73	 8.58	 8.73	 8.39	 8.29	 8.33	     	 8.29	 8.35	0	2	0	2	0	0	EWS 2012-BLG-1526	272.42971	-28.81256
OGLE-2012-BLG-1534S	921534	-0.13	-0.09	 0.07	 0.07	 0.05	 0.08	 0.08	 8.51	 8.54	 8.57	 8.36	 8.35	 8.29	     	 8.42	 8.06	1	0	1	0	0	2	EWS 2012-BLG-1534	270.19312	-28.01675
MOA-2013-BLG-063S  	930063	 0.42	 0.13	 0.39	 0.38	 0.04	 0.41	 0.40	 8.74	 8.86	 8.66	 8.71	 8.96	 8.77	     	 9.02	 8.77	1	2	0	0	2	0	MOA 2013-BLG-063 	266.30571	-33.49733
MOA-2013-BLG-068S  	930068	-0.42	-0.27	 0.41	 0.14	 0.27	 0.41	 0.15	 8.33	 8.37	 8.36	 8.01	 7.99	 8.05	     	 7.97	 8.01	2	0	2	2	0	1	MOA 2013-BLG-068 	268.59108	-31.19443
MOA-2013-BLG-299S  	930299	     	-0.21	     	 0.30	     	     	 0.32	 8.45	 8.48	 8.31	     	     	     	     	     	     	 	 	 	 	 	 	MOA 2013-BLG-299 	271.93012	-27.81392
MOA-2013-BLG-402S  	930402	-0.03	-0.01	 0.26	 0.18	 0.20	 0.36	 0.31	 8.33	 8.82	 8.70	 8.41	 8.34	 8.38	     	 8.55	 8.32	0	0	0	2	0	0	MOA 2013-BLG-402 	270.75058	-29.90678
OGLE-2013-BLG-0446S	930446	 0.29	 0.18	 0.23	 0.23	 0.02	 0.24	 0.24	 8.74	 8.85	 8.83	 8.69	 8.68	 8.74	     	 8.76	 8.70	0	2	0	0	1	0	EWS 2013-BLG-0446	271.73408	-31.65756
MOA-2013-BLG-517S  	930517	-0.96	-0.56	 0.41	 0.12	 0.35	 0.44	 0.19	 8.03	 8.04	 8.14	 7.38	 7.49	 7.43	     	 7.48	 7.53	0	1	0	0	0	0	MOA 2013-BLG-517 	273.40175	-27.72301
MOA-2013-BLG-524S  	930524	-0.99	-0.46	 0.14	 0.24	 0.11	 0.29	 0.35	 8.11	 8.19	 8.21	 7.33	 7.52	 7.42	     	 7.39	 7.50	0	0	0	2	0	0	MOA 2013-BLG-524 	270.62325	-33.10889
MOA-2013-BLG-605S  	930605	-0.34	 0.10	 0.31	 0.18	 0.21	 0.33	 0.20	 8.63	 8.82	 8.73	 7.86	 8.27	 7.97	     	 8.14	 8.19	0	0	2	0	0	0	MOA 2013-BLG-605 	269.67867	-29.39822
OGLE-2013-BLG-0692S	930692	 0.02	 0.07	 0.30	 0.26	 0.12	 0.35	 0.32	 8.49	 8.88	 8.73	 8.45	 8.55	 8.40	     	 8.42	 8.41	0	2	2	1	0	0	EWS 2013-BLG-0692	274.02775	-27.18500
OGLE-2013-BLG-0835S	930835	     	 0.20	     	 0.42	     	     	 0.49	 8.57	 8.92	 9.00	     	     	     	     	     	     	 	 	 	 	 	 	EWS 2013-BLG-0835	268.24746	-29.09919
OGLE-2013-BLG-0911S	930911	 0.37	 0.20	 0.27	 0.29	 0.03	 0.28	 0.30	 8.80	 8.84	 8.84	 8.77	 8.73	 8.80	     	 8.85	 8.83	0	1	0	0	0	0	EWS 2013-BLG-0911	268.88325	-29.25383
OGLE-2013-BLG-1015S	931015	 0.21	 0.12	 0.07	 0.08	 0.04	 0.10	 0.11	 8.71	 8.77	 8.75	 8.59	     	 8.60	     	 8.69	 8.68	2	0	2	2	0	1	EWS 2013-BLG-1015	268.20075	-35.01428
OGLE-2013-BLG-1114S	931114	 0.06	-0.04	 0.33	 0.36	 0.04	 0.38	 0.40	 8.50	 8.65	 8.60	 8.45	 8.45	 8.36	     	 8.65	 8.51	2	0	2	2	0	1	EWS 2013-BLG-1114	268.60167	-28.94225
OGLE-2013-BLG-1125S	931125	-0.24	 0.18	 0.23	 0.17	 0.29	 0.24	 0.18	 8.66	 8.86	 8.91	 8.25	 8.10	     	     	 8.17	     	0	0	2	0	0	2	EWS 2013-BLG-1125	268.36254	-29.79281
OGLE-2013-BLG-1147S	931147	 0.33	 0.10	 0.52	 0.43	 0.10	 0.53	 0.44	 8.65	 8.77	 8.76	 8.81	 8.69	     	     	 8.79	 8.73	0	0	2	0	0	0	EWS 2013-BLG-1147	272.16329	-26.67911
OGLE-2013-BLG-1259S	931259	-0.37	-0.01	 0.06	 0.09	 0.08	 0.08	 0.11	 8.57	 8.65	 8.63	 7.98	 8.01	 8.08	     	 8.07	 8.14	2	0	0	0	2	0	EWS 2013-BLG-1259	272.59725	-27.97933
OGLE-2013-BLG-1768S	931768	-0.08	 0.10	 0.34	 0.39	 0.10	 0.42	 0.46	 8.18	 8.97	 9.04	 8.33	     	 8.31	     	 8.43	     	0	2	0	1	0	2	EWS 2013-BLG-1768	268.11075	-31.61217
OGLE-2013-BLG-1793S	931793	 0.17	 0.12	 0.24	 0.20	 0.04	 0.25	 0.21	 8.70	 8.76	 8.78	 8.52	 8.62	 8.59	     	 8.63	 8.60	1	0	2	0	2	0	EWS 2013-BLG-1793	268.51954	-29.63447
OGLE-2013-BLG-1868S	931868	 0.28	 0.18	 0.12	 0.14	 0.03	 0.14	 0.16	 8.67	 8.86	 8.89	 8.64	 8.68	 8.76	     	 8.73	 8.71	0	0	0	2	2	1	EWS 2013-BLG-1868	271.39817	-30.88514
OGLE-2013-BLG-1938S	931938	-0.44	-0.07	 0.49	 0.14	 0.38	 0.50	 0.16	 8.56	 8.51	 8.60	 7.99	     	     	     	 7.90	 8.06	2	2	2	2	0	1	EWS 2013-BLG-1938	266.50787	-34.20875
MOA-2014-BLG-131S  	940131	 0.00	 0.08	 0.73	 0.52	 0.31	 0.80	 0.62	     	 8.63	 8.79	 8.47	 8.49	     	     	 8.42	 8.30	0	0	1	1	0	0	MOA 2014-BLG-131 	269.76042	-31.03186
OGLE-2014-BLG-0157S	940157	-0.46	-0.01	 0.47	 0.09	 0.39	 0.48	 0.14	 8.63	 8.61	 8.61	 8.04	 8.09	 7.91	     	 7.89	 7.90	2	1	0	0	0	0	EWS 2014-BLG-0157	269.57021	-33.77187
OGLE-2014-BLG-0801S	940801	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	 	 	 	 	 	 	EWS 2014-BLG-0801	268.51008	-32.59211
OGLE-2014-BLG-0953S	940953	 0.22	 0.29	 0.34	 0.34	 0.02	 0.36	 0.36	 8.88	 8.94	 8.92	 8.45	 8.65	 8.71	     	 8.61	 8.80	0	0	0	1	0	0	EWS 2014-BLG-0953	272.22075	-27.26781
OGLE-2014-BLG-0987S	940987	 0.24	 0.25	 0.28	 0.29	 0.06	 0.32	 0.33	 8.80	 8.96	 8.87	 8.60	 8.58	 8.76	     	 8.71	 8.69	1	0	2	0	2	0	EWS 2014-BLG-0987	274.22337	-25.52528
OGLE-2014-BLG-1122S	941122	-0.25	 0.17	 0.07	 0.04	 0.09	 0.09	 0.07	 8.82	 8.76	 8.81	 8.01	     	 8.11	     	 8.39	 8.23	0	2	0	0	1	0	EWS 2014-BLG-1122	271.48154	-29.68231
OGLE-2014-BLG-1370S	941370	 0.35	 0.27	 0.32	 0.29	 0.22	 0.43	 0.41	 8.80	 8.97	 8.91	 8.78	 8.81	 8.72	     	 8.81	 8.76	0	0	2	0	1	2	EWS 2014-BLG-1370	268.92637	-31.89286
OGLE-2014-BLG-1418S	941418	 0.32	 0.25	 0.06	 0.12	 0.06	 0.15	 0.18	 8.78	 8.93	 8.91	 8.74	 8.67	 8.75	     	 8.81	 8.76	0	0	0	1	0	0	EWS 2014-BLG-1418	273.69842	-26.41081
OGLE-2014-BLG-1469S	941469	-0.60	-0.25	 0.31	 0.11	 0.21	 0.32	 0.14	 8.46	 8.28	 8.40	 7.74	     	 7.82	     	 7.89	 7.90	0	2	0	0	0	0	EWS 2014-BLG-1469	269.03142	-30.95361
OGLE-2014-BLG-2040S	942040	 0.34	 0.21	 0.26	 0.28	 0.04	 0.31	 0.33	 8.90	 8.81	 8.80	 8.81	 8.70	 8.81	     	 8.71	 8.78	0	0	0	0	2	0	EWS 2014-BLG-2040	268.99783	-31.27661
OGLE-2015-BLG-0078S	950078	-0.74	-0.42	 0.58	 0.26	 0.35	 0.60	 0.30	 8.04	 8.29	 8.28	 7.66	 7.63	 7.74	     	 7.65	 7.74	0	0	2	0	1	2	EWS 2015-BLG-0078	268.87787	-27.96014
MOA-2015-BLG-111S  	950111	 0.24	 0.31	 0.57	 0.50	 0.10	 0.58	 0.52	 8.94	 8.82	 9.05	 8.63	 8.72	 8.63	     	 8.67	 8.70	0	0	0	2	0	0	MOA 2015-BLG-111 	272.73717	-25.02731
